Group,Item,Spec / why,Qty,"Indicative USD (LINE TOTAL, not unit)",Source,Link,Search term if the link dies,Status,Provenance,Stage
Wiring,XT60 pigtails + silicone wire + heatshrink,"XT60 pigtails, silicone wire, heatshrink. NOTE: your Zeee 6500mAh packs are HARD CASE RC-CAR batteries with EC5 connectors, not XT60 - add an EC5-to-XT60 adapter or re-terminate them",1 kit,12,AliExpress,https://www.aliexpress.com/w/wholesale-xt60-pigtail-14awg.html,XT60 pigtail 14awg silicone wire,TO BUY,ASSUMED - spec not verified against a source,B1
Tools,ST-Link V2 programmer,"THE SWD FALLBACK, via J19 (JST-SH 4P: +3V3, SWDIO, SWCLK, GND). The first flash is over USB DFU (hold BOOT, tap RESET), so this is only for a board whose DFU never appears.",1,4,AliExpress,https://www.aliexpress.com/w/wholesale-st-link-v2.html,ST-Link V2 STM32 programmer,TO BUY,ASSUMED - spec not verified against a source,A1
Tools,Pogo pins or 0.1mm enamelled wire,"NOT NEEDED FOR REV C: J19 is a JST-SH 4-pin SWD socket, so the ST-Link plugs in through a 4-pin pigtail. Kept only for a Rev B board, whose SWD was bare test pads.",1,5,AliExpress,https://www.aliexpress.com/w/wholesale-pogo-pin-probe.html,pogo pin test probe P75,LATER,ASSUMED - spec not verified against a source,-
Tools,Smoke stopper (XT60),Current-limits the first power-up. Cheaper than a board,1,10,AliExpress,https://www.aliexpress.com/w/wholesale-smoke-stopper-xt60.html,smoke stopper xt60 fpv,TO BUY,ASSUMED - spec not verified against a source,B1
Already have,4S LiPo packs,4x Zeeee 6500mAh + 2x 5400mAh,6,0,-,-,-,HAVE,"LISTING - 138x47x48mm, 615g, EC5, hardcase - read off the retailer page",B1
Already have,LiPo balance charger,-,1,0,-,-,-,HAVE,OWNED - you already have it,B1
Already have,Soldering iron and basic tools,-,1,0,-,-,-,HAVE,OWNED - you already have it,A1
To buy,Radxa Zero 3W (1GB),"Companion computer - DEFERRED WITH THE SOOP CHAIN, do not order in this pass. When revived: runs the SoOP Doppler pipeline and publishes GPS_INPUT at 5 Hz. 65x30mm Pi Zero form factor, RK3566 quad A55 @1.6GHz, 5V/2A. Carries a 22-pin 0.5mm 4-lane MIPI CSI socket (J7) so the flow camera can be added LATER without changing boards - that is why it was chosen over the Orange Pi Zero 2W, which has no CSI at all. MOUNTING HOLE PATTERN IS NOT PUBLISHED by Radxa: measure the board before cutting a tray. Rejected: Orange Pi Zero 2W (no CSI). Deferred: Pi Zero 2 W (RRP GBP 14.40 but sold out at Pi Hut and Pimoroni; open market GBP 70).",1,18,Radxa reseller (Arace / Allnet / Evelta),https://radxa.com/products/zeros/zero3w/,Radxa Zero 3W 1GB,DEFERRED,"[D] radxa.com: 65x30mm, 1x4-lane MIPI CSI, 5V/2A; [D] v1.12 schematic for J7; [U] hole pattern unpublished",-
Already have,Raspberry Pi 5,"Desk development only - needs 5A, CANNOT be powered from this board",1,0,-,-,-,HAVE,"DATASHEET - up to 5A, two CSI ports - cannot be powered from this board",A2
Navigation,Benewake TFS20-L lidar,"DOWNWARD altitude, RNGFND1, I2C 0x10 on J3.4/J3.5. 15m at 100kLux so it works in SUNLIGHT, which is the whole reason it costs GBP32. OPTIONAL: ArduPilot flies perfectly well on the barometer alone outdoors, and INDOORS a GBP3-6 VL53L1X module pointed down does the same job at 4m for a tenth of the price - it just cannot see in sun. Buy this only if you want reliable outdoor terrain following. MUST be the I2C variant: the UART one needs SERIAL6, which is routed to NO PAD on this board. Module is 3.3V and J3.1 is 5V - inline LDO unless it regulates.",1,32,AliExpress (or 3DXR UK GBP35.70),https://www.aliexpress.com/item/1005007619934577.html,Benewake TFS20-L 20m UART IIC lidar,TO BUY,"DATASHEET - Benewake: 15m @ 100kLux, 1.35g, 3.3V, I2C 0x10 per AP_RangeFinder header",B2
Navigation,"3.3V LDO, SOT-23",The TFS20-L is 3.3V and J3.1 is 5V. Inline in the loom. Skip if the module you buy has its own regulator,1,1,AliExpress,https://www.aliexpress.com/w/wholesale-ams1117-3.3-module.html,AMS1117 3.3V module or XC6206 SOT-23,CONSIDER,ASSUMED - spec not verified against a source,-
Deferred,Global-shutter camera (OV9281),"OPTICAL FLOW IS DEFERRED - not ordered in this pass. Flow is not the position source (SoOP is); it is the aid that turns quadratic IMU drift into roughly linear drift during a SoOP outage. Adding it later is a companion-software change only: it arrives as MAVLink OPTICAL_FLOW and defaults.parm already ships FLOW_TYPE 5. WHEN ordered: must be GLOBAL shutter (rolling shutter + prop vibration = jello that corrupts flow). Arducam B0162, 1280x800 mono 60fps, M12 mount so the lens is swappable - 60-90 deg for flow, not the 130 deg fisheye. ALSO NEEDS: a Radxa kernel rebuild plus a custom DT overlay with pwdn-gpios = <&gpio3 RK_PC6>; see CAMERA_IFACE in tools/design.py.",0,0,Arducam,https://www.arducam.com/ov9281-mipi-1mp-monochrome-global-shutter-camera-module-m12-mount-lens-raspberry-pi.html,Arducam B0162 OV9281 global shutter M12,LATER,[L] Arducam product page; driver work [L] radxa forum 26386 + [D] v1.12 schematic,-
Navigation,VL53L1X ToF module (GY-53-L1X),"UPWARD-facing, for indoor ceiling avoidance. 4m is adequate at the 2-3 m/s you fly indoors. I2C 0x29 - only works because U7 is left unpopulated, so the address is free. RNGFND3 block (NOT RNGFND2 - that block still models U7): RNGFND3_TYPE 16 only when fitted, RNGFND3_ADDR 41, RNGFND3_ORIENT 24, RNGFND3_MIN 0.04, RNGFND3_MAX 3.60. NOT a VL53L5CX: ArduPilot has no driver for that part",1,6,AliExpress,https://www.aliexpress.com/item/32957733956.html,GY-53-L1X VL53L1X TOF module,TO BUY,ASSUMED - spec not verified against a source,B2
Deferred,22-pin CSI camera cable,"Deferred with the camera. The Radxa Zero 3W's J7 is a 22-pin 0.5mm FPC, the same as a Pi Zero, so a 15-pin OV9281 module needs the 22-to-15-pin cable. LENGTH IS A MEASUREMENT: the run is top plate to under the bottom plate - measure the assembled frame first.",0,0,The Pi Hut,https://thepihut.com/products/raspberry-pi-zero-camera-adapter,22-pin to 15-pin camera cable,LATER,[D] 22-pin 0.5mm FPC confirmed as J7 in radxa_zero_3w_v1.12_schematic.pdf,-
Indoor avoidance,VL53L1X ToF modules x8,"INDOOR obstacle ring, 8 at 45deg intervals - matches ArduPilot's PROXIMITY_NUM_SECTORS 8. 27deg cone gives 0.95m gaps at 3m, BETTER than the GBP290 TeraRanger's 2.36m. 4m range is generous at the 1-3 m/s you fly indoors. Useless outdoors at cruise SOFTWARE PATH PROVEN: a direct test had 685 OBSTACLE_DISTANCE messages accepted by AP_Proximity_MAV with no prearm complaint. One real gotcha - messages sent before AP_Proximity::init() has run are SILENTLY DROPPED (the frontend loops over num_instances, still 0), so the hub must keep publishing rather than give up on early silence",8,24,AliExpress,https://www.aliexpress.com/item/1005005643165013.html,VL53L1X laser ranging TOF module CJMCU-531,CONSIDER,DATASHEET - parts verified; ArduPilot path proven by direct test,-
Indoor avoidance,TCA9548A I2C multiplexer,"DROPPED WITH THE ToF RING - a 360 lidar replaces the ring outright: cheaper or comparable, natively supported, 12m against 3.6m, true 360 against ~40% of the horizon blind between beams, and NO firmware to write. The mux only ever existed because ArduPilot cannot assign VL53L1X addresses; an MCU hub can, via XSHUT. Moot now either way. Original note: Solves the address collision - all 8 VL53L1X are fixed at 0x29 and ArduPilot cannot reassign them. 8 channels ",1,2,AliExpress,https://www.aliexpress.com/item/1005007308268521.html,TCA9548A 8 channel I2C multiplexer breakout,LATER,DATASHEET - parts verified; ArduPilot path proven by direct test,-
Indoor avoidance,MCU sensor hub (RP2040 or Arduino Nano),"DROPPED WITH THE ToF RING - a 360 lidar replaces the ring outright: cheaper or comparable, natively supported, 12m against 3.6m, true 360 against ~40% of the horizon blind between beams, and NO firmware to write. Original note: Reads the 8-sensor ring: drives the TCA9548A, polls the 8 VL53L1X, emits MAVLink OBSTACLE_DISTANCE (increment=",1,4,AliExpress,https://www.aliexpress.com/w/wholesale-rp2040-board.html,RP2040 Raspberry Pi Pico board,LATER,[D] AP_Proximity_MAV message path proven in this project; hub firmware TO BE WRITTEN,-
Wiring,EC5 to XT60 adapter,"Your Zeee 6500mAh 4S packs are RC-car hardcase batteries with EC5 plugs. The ESC, smoke stopper and everything else here is XT60. Buy 2 so you are not swapping one between packs",2,6,AliExpress,https://www.aliexpress.com/w/wholesale-ec5-to-xt60-adapter.html,EC5 female to XT60 male adapter cable,TO BUY,ASSUMED - spec not verified against a source,B1
Airframe,Landing gear - TPU skids (3D PRINT),"PRINT THESE, do not buy. You have an Ultimaker 2+ (223x223x205mm) and TPU legs are the standard printed part on an FPV build - they absorb landing energy in a way carbon cannot. MUST match the MOTOR's 19x19 pattern, not the frame's 16x16. Needs a 40 mm drop - NOT the ~25 mm this line used to say. design.SKID['drop'] is 40 mm, derived from the LD06's 33.30 mm datasheet height: at 25 mm the belly had 28.5 mm of depth and the lidar did not fit by 4.80 mm. At 40 mm, check_cad_fit reports 10.20 mm of ground clearance under it. the frame's published SO1-V6-skate.stl is a 6mm flat WEAR PLATE, not a leg, so it does not do this job. UM2+ CAVEAT: it is a Bowden extruder and handles soft TPU poorly - use a harder 95A+ filament, or print in PETG and accept a stiffer landing.",1 set,0,3D print,-,FPV landing skid TPU 19x19 motor mount,PRINT,[M] Ultimaker 2+ build volume vs the STL bounding boxes; [A] 25mm drop,B1
Airframe,Landing gear - carbon rod legs for payload,"FOR CARRYING THINGS. ~60 mm clearance: enough for a gripper plus a small load. 4x 4-6 mm carbon rod with TPU or nylon feet, M3 bolted through the TBS Source One V5 7in DC's 2.5 mm bottom plate. NOTE: the original choice of frame was justified by a 3.0 mm bottom plate, and this frame's is 2.5 mm - thinner, so use washers or a spreader plate rather than bolting a point load straight through carbon. ~30-40 g. Tarot folding gear gives 120 mm but weighs 100 g+.",1 set,10,AliExpress,https://www.aliexpress.com/w/wholesale-drone-landing-gear-carbon-rod-tpu-foot.html,drone landing gear carbon tube leg TPU foot M3,CONSIDER,[D] 2.5 mm bottom plate from the Source One spec; [A] rod sizing and mass,-
Airframe,"Landing gear - TPU/nylon skids, BOUGHT (backup for the printed set)","INSURANCE, not the primary plan - the printed set above is. Buy this if you will not be near the Ultimaker when the boards arrive, or if the first print warps. TWO HARD REQUIREMENTS, and most listings meet neither, so read the photos: (1) it must bolt to the MOTOR's 19x19 mm pattern, not the frame's 16x16 - the BrotherHobby Avenger 2806.5 is the larger pattern; (2) it must give a 40 mm DROP below the arm. Generic 5in/7in skids are typically 20-30 mm and would leave the LD06 lidar - 33.30 mm tall, belly-mounted - touching the ground. At 40 mm, check_cad_fit reports 10.20 mm of clearance; at 30 mm it is 0.20 mm, which is not a clearance. If you cannot confirm the drop from the listing, buy the taller one and shim, or print. Sold in sets of 2 or 4; you need 4.",1 set,8,AliExpress,https://www.aliexpress.com/w/wholesale-fpv-drone-landing-gear-tpu-skid-19x19.html,FPV drone landing gear TPU skid 19x19 motor mount 7 inch,TO BUY,[M] 40 mm drop and 19x19 pitch from design.SKID; [M] 10.20 mm clearance from tools/check_cad_fit.py; [A] price,B1
Airframe,M3x14 socket screws (motor),"THE THING THAT MAKES SKIDS 'NOT FIT'. Stock motor screws are M3x8-10. Adding a 3.5mm skid under a 6mm arm needs ~14mm to keep 4mm of thread in the motor. Buy M3x14 or M3x16, 16 pieces, and make sure the skids are the 19x19 pattern the 2806.5 uses. Cheap, and without them the skids are unusable",16,3,AliExpress,https://www.aliexpress.com/w/wholesale-m3x14-socket-head-screw-black.html,M3x14 socket head cap screw black steel,TO BUY,ASSUMED - spec not verified against a source,B1
Flight controller,"microSD card, 32GB","NOT OPTIONAL. Holds the flight logs AND every Lua script - AP_Scripting reads scripts from the card at boot. Logging at 50Hz wants decent write endurance: a name-brand A1/U3 card, not the cheapest. 32GB is plenty; larger cards gain nothing and some FCs dislike them",1,8,AliExpress / anywhere,https://www.aliexpress.com/w/wholesale-sandisk-32gb-microsd-a1.html,SanDisk 32GB microSD A1 U3,TO BUY,ASSUMED - spec not verified against a source,A1
Tools,"USB-C cable, data-capable",The only way to flash the board and talk to it over MAVLink. Must be a DATA cable - charge-only USB-C leads are common and will enumerate nothing. You likely already own one,1,3,anywhere,https://www.aliexpress.com/w/wholesale-usb-c-data-cable-short.html,USB-C to USB-A data cable 1m,TO BUY,ASSUMED - spec not verified against a source,A1
Deferred,FPV camera + VTX + UVC receiver (live video to laptop),"OPTIONAL. Live analogue video to the laptop: a 5.8GHz UVC receiver plugs into USB and the laptop sees it as a WEBCAM, so the stock Windows Camera app views and records it - no drivers. BUY 25 mW, NOT 600 mW. Ofcom IR2030 permits airborne 5725-5875MHz at 25 mW EIRP licence-exempt, and EIRP INCLUDES ANTENNA GAIN - it is not the number printed on the VTX. Most analogue VTX units lack the RED certification that would allow 500 mW, so 25 mW is the practical legal ceiling in the UK. That is not a real limitation here: 25 mW gives 100-300 m line-of-sight, and UK open-category rules require visual line of sight anyway, so the video range already exceeds the legal flight envelope. Power it from the VBAT pad PF1 if the unit accepts 7-26V (many do; CHECK - some want 5V). Keep the 5.8GHz antenna away from the 2.4GHz ELRS antenna. NOTE the RTL-SDR in this list CANNOT receive this - the R820T2 tops out near 1.766 GHz.",0,38,AliExpress,https://www.aliexpress.com/w/wholesale-5.8g-uvc-otg-receiver.html,5.8G 150CH UVC OTG receiver + 25mW AIO FPV camera VTX,LATER,"[D] Ofcom IR 2030, 5725-5875 MHz airborne 25 mW EIRP licence-exempt; [L] AliExpress: 25mW AIO cam+VTX ~$19, 5.8G UVC OTG receiver ~$10-30; [A] the GBP 30 mid-point - prices move",-
Indoor avoidance,LDROBOT LD06 360 lidar (INDOOR USE ONLY),"360 obstacle avoidance indoors. PRX1_TYPE 16 on SERIAL2 (TP5/TP6), 230400 baud, TX pin only - the PWM motor input is left unconnected and it self-spins. LD06 rather than the $45 STL-19P because the 60 klux rule that rejected it is an OUTDOOR spec: full sun is ~100 klux, but room lighting is 300-500 lux, so the LD06's 25 klux has ~50x margin indoors. DO NOT FLY IT OUTSIDE - outdoors it produces phantom obstacles in sunlight (unresolved ArduPilot Discourse thread) and AC_Avoid then brakes for nothing, which is worse than no sensor. For outdoor use swap to LD19 / STL-19P / STL-06P (60 klux) or LD14P (80 klux, 115200 baud not 230400) - same PRX1_TYPE 16 driver, drop-in. PRICE RESOLVED (2026-09-05): the Okdo Lidar Hat + Bracket Development Kit - eBay, GBP 13.99, >1000 sold - is a repackaged genuine LD06 with mounting bracket and Pi HAT, and the LD06 module is SEPARATE from the bracket and HAT. Buy the kit, use the UNIT ONLY: wire its own ZH1.5T-4P lead TX->TP6, 5V->P71, GND->P74 and leave the HAT (its 5 V regulator, adapter electronics and Pi header) off the aircraft - it is dead weight in flight. On arrival: confirm unit + ZH cable in the box, weigh against the 42 g datasheet figure, verify the 47-byte 0x54/CRC8 stream at 230400 before mounting (a look-alike clone is a Lua-driver project, not a purchase). NOTE this gives obstacle avoidance, NOT position hold: proximity feeds AC_Avoid, never the EKF. Indoors without GPS or flow there is no horizontal position estimate, so Loiter and PosHold are unavailable and indoor flying is manual AltHold. See docs/SENSORS.md.",1,14,eBay - Okdo Lidar Hat kit (use the LIDAR UNIT only),https://www.ebay.com/itm/395159855374,Okdo Lidar Hat LD06 kit; or search LDROBOT LD06 LD19 360 lidar UART 230400,TO BUY,"[D] AP_Proximity_LD06.cpp: 47-byte frame, 0x54 start, CRC8 0x4D; [D] ArduPilot LD06 wiring page: TX only, PWM unconnected; [L] 25 klux from LDROBOT and the kaiaai 2D-lidar survey; [L] PRICE: GBP 13.99 as the LD06 unit in the Okdo Lidar Hat Development Kit, eBay item 395159855374 (>1000 sold); kit = unit + bracket + Pi HAT, module separate from the bracket (gibbard.me/lidar teardown of the same kit) - supersedes the ~$99-131 and ~GBP 15 estimates; [D] 38.59x38.59x33.30 mm, 42 g, 180 mA run / 300 mA start, ZH1.5T-4P - LDROBOT LD06 datasheet",B2
Deferred,Soft-case 4S drone LiPo,"OPTIONAL LATER. Your hardcase car packs weigh 615g against ~500g for a soft-case 6000-6500mAh drone pack - 115g of dead plastic that comes straight off your payload, plus a 48mm height that raises the CG. Not urgent; the car packs fly fine with an adapter",0,45,AliExpress,https://www.aliexpress.com/w/wholesale-4s-6000mah-lipo-xt60-soft-case.html,4S 6000mAh lipo XT60 soft case drone,LATER,ASSUMED - spec not verified against a source,-
SoOP receiver,Nooelec SAWbird+ IR (1620MHz LNA+SAW),"ON THE AIRCRAFT, AT THE ANTENNA. This IS the 1620MHz SAW + LNA stage the RF front end needed and could not source - the 1620MHz SAW is not stocked at LCSC, which is why the receiver was pushed to Rev B. Nooelec sell it built and EMI-shielded: dual ultra-low-noise LNA either side of a custom SAW, 1620MHz centre, 60MHz bandpass, 30dB gain, 180mA. Powered by bias-tee, microUSB or DC barrel - one at a time. It replaces the board's own LNA+SAW chain (U15/U16/FL1, deleted): an LNA belongs at the antenna where it sets noise figure before cable loss, and the 1620MHz SAW was never stocked at LCSC anyway. Coax from its output to J12 (U.FL) on the flight controller.",1,35,Nooelec,https://nooelec.com/store/sawbird-plus-ir.html,Nooelec SAWbird+ IR 1620MHz,TO BUY,"[D] Nooelec product page: 1620MHz centre, 60MHz bandpass, >=30dB gain, 180mA",A2
SoOP receiver,Nooelec 1620MHz Iridium patch antenna,"Purpose-built for Iridium reception - 1.620GHz centre, 80MHz+ bandwidth, 3.0dBi+. A GPS patch will NOT do: GPS L1 is 1575.42MHz and Iridium is 1616-1626.5MHz, ~45MHz away and outside a GPS patch's bandwidth. Needs a clear view of the sky.",1,25,Nooelec,https://www.nooelec.com/store/sdr/iridium-antenna.html,Nooelec 1620MHz Iridium antenna,TO BUY,"[D] Nooelec product page: 1.620GHz centre, 80MHz+ BW, 3.0dBi+",A2
Wiring,"SMA-male to U.FL (IPEX MHF1) coax pigtail, 10-15 cm","THE CABLE BETWEEN THE SAWbird+ AND THE BOARD, AND NOTHING ELSE ON THE LIST WAS. The SAWbird+ IR output is SMA female; the board's antenna input J12 is a U.FL (IPEX MHF1) socket. Buy 2: U.FL sockets are rated ~30 mating cycles and the plug is easy to damage. RG178 or 1.13 mm coax; keep it short - every 10 cm at 1.6 GHz is ~0.5 dB.",2,4,AliExpress,https://www.aliexpress.com/w/wholesale-sma-male-to-ufl-ipex-pigtail.html,SMA male to U.FL IPEX MHF1 pigtail RG178 15cm,TO BUY,[M] design.py: J12 is Conn_Coaxial U.FL (C5137195); [D] Nooelec SAWbird+ IR: SMA female in/out,A2
Wiring,micro-USB power lead for the SAWbird+ (5 V from PV1/PV2),"THE SAWbird+ NEEDS POWER ON THE AIRCRAFT AND J12 HAS NO BIAS TEE. On the bench the RTL-SDR's bias tee powers it up the coax; in flight the coax ends at U13 and nothing feeds it. Its micro-USB (or DC barrel) input takes 3.3-5.5 V at 180 mA: a bare-ended micro-USB lead soldered to PV1 (+5V_PAYLOAD) and PV2 (GND), the Rev C payload buck U20 - not to P41/P46, which are the flight controller's own +5 V.",1,2,AliExpress,https://www.aliexpress.com/w/wholesale-micro-usb-bare-wire-power-cable.html,micro USB male bare wire power cable 2 pin,TO BUY,"[D] Nooelec SAWbird+ IR: 180 mA; [M] design.MODULES soop_tuner on +5V_PAYLOAD, budgeted in PAYLOAD_PROFILES[""drone""]",A2
SoOP receiver,"RTL-SDR Blog V4 (R820T2, with bias tee)","BENCH REFERENCE RECEIVER, NOT THE FLIGHT PATH. The aircraft does its own Doppler: the MAX2112 tuner (U13) on the flight controller feeds baseband I/Q straight into the H743's ADCs. This dongle is how you PROVE the antenna and SAWbird+ work before trusting the on-board chain (runbook T3b step 1). BUY THE BLOG V3/V4, NOT A GENERIC R820T2 STICK: its software-switched bias tee (4.5 V, up to 180 mA) powers the SAWbird+ up the coax on the bench. The SAWbird+ can also take micro-USB or DC-barrel power, so a generic stick is recoverable with a USB lead - but the bias tee makes the bench chain one cable. R820T2 tunes to ~1.75 GHz so 1616-1626.5 MHz is in range; ~2.4 MHz of bandwidth covers one Iridium channel.",1,30,AliExpress / RTL-SDR Blog,https://www.rtl-sdr.com/buy-rtl-sdr-dvb-t-dongles/,RTL-SDR Blog V4 R820T2,TO BUY,"[D] RTL-SDR Blog V4 page: bias tee 4.5 V / 180 mA software-enabled; [D] Nooelec SAWbird+ IR: bias-tee, micro-USB or DC power; [L] ~GBP30",A2
SoOP receiver,gr-iridium + iridium-toolkit (software),"FREE, open source. gr-iridium takes raw IQ, runs an FFT burst detector, downmixes each burst, does carrier and timing recovery, demodulates QPSK and emits bit frames; iridium-toolkit decodes them. THE POINT FOR THIS PROJECT: it reports PER-BURST FREQUENCY, so the Doppler shift is directly measurable on the ground. That replaces the 180m sigma / 2s latency model in sitl/soop_link.py with MEASURED numbers. The sigma was [A] 20m until 2026-09-04; it is now [L] 180m, the published Iridium NEXT figure without elevation aiding. 20m turned out to be the best result in the literature - four Iridium plus one Orbcomm, five satellites across two constellations, static receiver - being applied to single-constellation Iridium on a moving quad. NOTE the dominant error is EPHEMERIS, not the receiver: TLE orbit error is kilometres and is the main source of positioning inaccuracy, so no better SDR, TCXO, LNA or antenna raises the accuracy ceiling. They raise SNR, which you need to detect bursts at all.",1,0,GitHub (muccc),https://github.com/muccc/gr-iridium,gr-iridium iridium-toolkit,TO BUY,"[D] muccc/gr-iridium README: FFT burst detect, QPSK demod, frame output",A2
