Designator,Mid X,Mid Y,Layer,Rotation
J3,134.7300mm,-130.5200mm,top,0.0
J5,141.6600mm,-130.9200mm,bottom,270.0
J6,141.5000mm,-142.8500mm,bottom,270.0
J8,122.2000mm,-134.4850mm,bottom,0.0
J9,103.6250mm,-129.7800mm,top,270.0
L1,125.5320mm,-127.5926mm,top,180.0
L2,130.7900mm,-108.5500mm,top,0.0
L5,127.5000mm,-119.7500mm,bottom,0.0
Q1,142.3800mm,-110.7700mm,top,0.0
Q3,108.2500mm,-126.7500mm,bottom,0.0
Q4,102.4000mm,-104.0500mm,bottom,180.0
Q5,102.5000mm,-136.0000mm,top,0.0
R1,141.6550mm,-123.9150mm,top,0.0
R10,111.3301mm,-120.9462mm,bottom,0.0
R11,124.0167mm,-119.4973mm,bottom,0.0
R12,123.8288mm,-112.1444mm,bottom,0.0
R14,108.5500mm,-123.9500mm,top,0.0
R16,134.9715mm,-104.1350mm,top,0.0
R17,108.6950mm,-101.7550mm,top,90.0
R18,117.0500mm,-122.2000mm,bottom,0.0
R19,117.4384mm,-126.5406mm,bottom,0.0
R20,128.9500mm,-139.9500mm,top,0.0
R21,134.1901mm,-139.6550mm,top,0.0
R22,111.3849mm,-128.4950mm,bottom,0.0
R23,111.3849mm,-129.8850mm,bottom,0.0
R24,111.3849mm,-131.2750mm,bottom,0.0
R25,111.3849mm,-132.6650mm,bottom,0.0
R26,111.3849mm,-134.0550mm,bottom,0.0
R27,111.3849mm,-135.4450mm,bottom,0.0
R28,137.6001mm,-111.5926mm,bottom,180.0
R29,134.2926mm,-113.7001mm,bottom,180.0
R31,129.9500mm,-112.9500mm,bottom,180.0
R34,143.3074mm,-118.3001mm,bottom,180.0
R35,141.0001mm,-112.1926mm,bottom,90.0
R36,141.6000mm,-117.9174mm,top,180.0
R37,135.1000mm,-116.4074mm,bottom,90.0
R38,143.3800mm,-111.7200mm,bottom,180.0
R39,143.2337mm,-113.1123mm,bottom,180.0
R4,130.8249mm,-125.4883mm,bottom,0.0
R40,131.3650mm,-126.1131mm,top,0.0
R41,133.0766mm,-125.3358mm,bottom,180.0
R42,131.9106mm,-120.0366mm,bottom,180.0
R43,138.4672mm,-121.4451mm,bottom,0.0
R45,108.2500mm,-129.2500mm,bottom,180.0
R46,106.0500mm,-101.1500mm,bottom,180.0
R47,126.9400mm,-108.2000mm,top,0.0
R48,105.4350mm,-110.9825mm,top,0.0
R49,103.7050mm,-109.2325mm,bottom,0.0
R5,137.3843mm,-122.9930mm,bottom,0.0
R50,103.1650mm,-111.1175mm,top,0.0
R51,103.6850mm,-109.6175mm,top,0.0
R52,103.6450mm,-106.2325mm,top,0.0
R53,102.9050mm,-104.4825mm,top,0.0
R54,101.5000mm,-138.5000mm,top,0.0
R55,103.5000mm,-138.5000mm,top,0.0
R56,102.0000mm,-138.0000mm,bottom,180.0
R6,132.8100mm,-109.8300mm,bottom,0.0
R7,133.9100mm,-108.4300mm,bottom,0.0
R9,110.8301mm,-119.5800mm,bottom,0.0
SW1,110.4538mm,-116.9997mm,bottom,0.0
SW2,113.0552mm,-129.3620mm,top,180.0
U1,118.3800mm,-117.5800mm,top,0.0
U10,122.5000mm,-142.8011mm,top,0.0
U11,113.3400mm,-104.5700mm,top,0.0
U12,122.9360mm,-104.8629mm,bottom,0.0
U13,139.1000mm,-117.0000mm,bottom,180.0
U14,103.8000mm,-114.0500mm,bottom,180.0
U17,132.8500mm,-142.2000mm,top,0.0
U19,136.9500mm,-128.9197mm,bottom,0.0
U2,120.6500mm,-109.4000mm,bottom,0.0
U20,130.6375mm,-121.2200mm,top,0.0
U21,114.9000mm,-102.9000mm,bottom,90.0
U3,124.7500mm,-109.4000mm,bottom,0.0
U4,115.5000mm,-110.1300mm,bottom,0.0
U5,137.0400mm,-118.1000mm,top,0.0
U8,130.6375mm,-112.9400mm,top,0.0
U9,138.1500mm,-125.2200mm,top,90.0
Y1,116.2500mm,-119.2500mm,bottom,180.0
Y2,141.8274mm,-123.5001mm,bottom,180.0
